交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2017/5/8,TXO,201705,8700,賣權,0.4,0.5,0.4,0.4,480,0.4,24132,0.3,0.4,30.5,0.4,,一般
2017/5/8,TXO,201705,8800,買權,-,-,-,-,0,1120,61,-,-,-,-,,一般
2017/5/8,TXO,201705,8800,賣權,0.6,0.6,0.4,0.4,501,0.4,21742,0.4,0.5,38,0.4,,一般
2017/5/8,TXO,201705,8900,買權,-,-,-,-,0,1020,13,-,-,-,-,,一般
2017/5/8,TXO,201705,8900,賣權,0.8,0.8,0.5,0.5,648,0.5,9799,0.5,0.6,48,0.5,,一般
2017/5/8,TXO,201705,9000,買權,-,-,-,-,0,920,20,-,-,-,-,,一般
2017/5/8,TXO,201705,9000,賣權,1,1,0.7,0.7,749,0.8,11968,0.7,0.8,61,0.7,,一般
2017/5/8,TXO,201705,9100,買權,-,-,-,-,0,820,56,-,-,-,-,,一般
2017/5/8,TXO,201705,9100,賣權,1,1.1,1,1,2274,1,12539,0.9,1,77,1,,一般
2017/5/8,TXO,201705,9200,買權,720,720,720,720,10,720,91,351,1040,775,420,,一般
2017/5/8,TXO,201705,9200,賣權,1.6,1.6,1.1,1.1,2261,1.2,17588,1.1,1.3,97,1.1,,一般
2017/5/8,TXO,201705,9300,買權,-,-,-,-,0,625,219,-,-,-,-,,一般
2017/5/8,TXO,201705,9300,賣權,1.8,1.9,1.6,1.6,2109,1.6,18876,1.5,1.7,122,1.6,,一般
2017/5/8,TXO,201705,9400,買權,535,535,505,505,227,525,591,491,570,575,254,,一般
2017/5/8,TXO,201705,9400,賣權,2.4,2.8,2.2,2.2,3543,2.2,24966,2.1,2.2,152,2.2,,一般
2017/5/8,TXO,201705,9500,買權,443,455,408,408,357,425,1046,421,427,487,183,,一般
2017/5/8,TXO,201705,9500,賣權,4.7,4.7,3.2,3.2,5213,3.2,33845,3.1,3.3,190,3.2,,一般
2017/5/8,TXO,201705,9600,買權,346,359,304,304,111,325,2772,322,328,411,122,,一般
2017/5/8,TXO,201705,9600,賣權,6,6.7,4.7,4.7,12893,4.8,36375,4.8,5.1,231,4.7,,一般
2017/5/8,TXO,201705,9700,買權,238,268,208,208,852,231,10946,230,231,330,73,,一般
2017/5/8,TXO,201705,9700,賣權,12.5,13,8.4,8.4,11358,9,30796,8.9,9,278,8.4,,一般
2017/5/8,TXO,201705,9800,買權,150,175,123,123,4609,140,17819,139,141,260,39,,一般
2017/5/8,TXO,201705,9800,賣權,27,28,17,17,17311,20,33932,19.5,20.5,347,17,,一般
2017/5/8,TXO,201705,9900,買權,73,95,57,57,17494,69,31697,68,69,199,17.5,,一般
2017/5/8,TXO,201705,9900,賣權,52,63,37,37,19375,47.5,20028,47,47.5,390,37,,一般
2017/5/8,TXO,201705,10000,買權,30,41,20.5,20.5,29408,26,53411,26,26.5,145,7.1,,一般
2017/5/8,TXO,201705,10000,賣權,102,126,82,82,5493,106,6889,105,106,482,82,,一般
2017/5/8,TXO,201705,10200,買權,3.7,4.6,2.5,2.5,13539,3.1,54350,3,3.2,88,1.8,,一般
2017/5/8,TXO,201705,10200,賣權,263,305,248,248,698,283,740,281,284,605,244,,一般
2017/5/8,TXO,201705,10400,買權,0.7,0.9,0.5,0.5,1311,0.6,20334,0.5,0.7,48,0.5,,一般
2017/5/8,TXO,201705,10400,賣權,447,500,447,447,37,480,104,477,483,780,438,,一般
2017/5/8,TXO,201705,10600,買權,0.2,0.3,0.2,0.2,40,0.3,5548,0.2,0.3,25.5,0.2,,一般
2017/5/8,TXO,201705,10600,賣權,685,690,685,685,2,680,16,530,1120,980,640,,一般
2017/5/8,TXO,201705,10800,買權,-,-,-,-,0,0.2,2581,-,-,-,-,,一般
